Year,Cause of Death,State,State FIPS Code,HHS Region,Age Range,Benchmark,Locality,Observed Deaths,Population,Expected Deaths,Potentially Excess Deaths
2008,Heart Disease,Minnesota,MN,5,0-54,Floating,All,603,4006038,597,14
2008,Heart Disease,Colorado,CO,8,0-54,Floating,All,610,3825950,558,56
2008,Heart Disease,Wisconsin,WI,5,0-54,Floating,All,804,4235159,643,161
2008,Heart Disease,Arizona,AZ,9,0-54,Floating,All,808,4765949,643,165
2008,Heart Disease,Washington,WA,10,0-54,Floating,All,812,5007543,741,78
2008,Heart Disease,Massachusetts,MA,1,0-54,Floating,All,841,4839264,743,98
2008,Heart Disease,Arkansas,AR,6,0-54,Floating,All,882,2131676,304,578
2008,Heart Disease,Mississippi,MS,4,0-54,Floating,All,916,2250014,316,600
2008,Heart Disease,Oklahoma,OK,6,0-54,Floating,All,1062,2761903,392,670
2008,Heart Disease,Kentucky,KY,4,0-54,Floating,All,1141,3220575,479,662
2008,Heart Disease,South Carolina,SC,4,0-54,Floating,All,1145,3381304,491,654
2008,Heart Disease,Maryland,MD,3,0-54,Floating,All,1156,4354624,662,494
2008,Heart Disease,New Jersey,NJ,2,0-54,Floating,All,1240,6569092,1015,225
2008,Heart Disease,Louisiana,LA,6,0-54,Floating,All,1311,3398051,487,824
2008,Heart Disease,Indiana,IN,5,0-54,Floating,All,1329,4887355,709,620
2008,Heart Disease,Missouri,MO,7,0-54,Floating,All,1372,4431291,656,716
2008,Heart Disease,Alabama,AL,4,0-54,Floating,All,1436,3524922,517,919
2008,Heart Disease,Virginia,VA,3,0-54,Floating,All,1436,6006410,896,540
2008,Heart Disease,Tennessee,TN,4,0-54,Floating,All,1699,4689360,692,1007
2008,Heart Disease,North Carolina,NC,4,0-54,Floating,All,1863,7070156,1026,837
2008,Heart Disease,Georgia,GA,4,0-54,Floating,All,2089,7535238,1055,1034
2008,Heart Disease,Michigan,MI,5,0-54,Floating,All,2140,7450092,1129,1011
2008,Heart Disease,Pennsylvania,PA,3,0-54,Floating,All,2243,9164509,1425,818
2008,Heart Disease,Ohio,OH,5,0-54,Floating,All,2451,8569757,1297,1154
2008,Heart Disease,Illinois,IL,5,0-54,Floating,All,2473,9797187,1413,1060
2008,Heart Disease,New York,NY,2,0-54,Floating,All,2983,14474949,2149,834
2008,Heart Disease,Florida,FL,4,0-54,Floating,All,3134,13174467,2005,1129
2008,Heart Disease,Texas,TX,6,0-54,Floating,All,4054,19445161,2612,1442
2008,Heart Disease,California,CA,9,0-54,Floating,All,4762,28798692,4007,755
2009,Heart Disease,Vermont,VT,1,0-54,Floating,All,78,448078,72,7
2009,Heart Disease,Wyoming,WY,8,0-54,Floating,All,86,420246,60,26
2009,Heart Disease,North Dakota,ND,8,0-54,Floating,All,99,489621,69,30
2009,Heart Disease,South Dakota,SD,8,0-54,Floating,All,104,597112,84,21
2009,Heart Disease,"District ofColumbia",DC,3,0-54,Floating,All,125,461678,59,66
2009,Heart Disease,Montana,MT,8,0-54,Floating,All,128,705489,107,24
2009,Heart Disease,Alaska,AK,10,0-54,Floating,All,142,562941,81,61
2009,Heart Disease,Rhode Island,RI,1,0-54,Floating,All,147,775814,117,30
2009,Heart Disease,New Hampshire,NH,1,0-54,Floating,All,156,968042,159,4
2009,Heart Disease,Maine,ME,1,0-54,Floating,All,166,934943,154,13
2009,Heart Disease,Idaho,ID,10,0-54,Floating,All,186,1189819,156,32
2009,Heart Disease,Delaware,DE,3,0-54,Floating,All,191,657325,97,94
2009,Heart Disease,Hawaii,HI,9,0-54,Floating,All,230,985259,142,88
2009,Heart Disease,Utah,UT,8,0-54,Floating,All,233,2248824,246,1
2009,Heart Disease,Nebraska,NE,7,0-54,Floating,All,250,1361936,189,61
2009,Heart Disease,New Mexico,NM,6,0-54,Floating,All,273,1521316,213,60
2009,Heart Disease,West Virginia,WV,3,0-54,Floating,All,390,1294889,199,191
2009,Heart Disease,Oregon,OR,10,0-54,Floating,All,394,2790279,401,11
2009,Heart Disease,Kansas,KS,7,0-54,Floating,All,418,2139750,298,120
2009,Heart Disease,Iowa,IA,7,0-54,Floating,All,470,2221322,319,151
2009,Heart Disease,Connecticut,CT,1,0-54,Floating,All,513,2630558,411,102
2009,Heart Disease,Nevada,NV,9,0-54,Floating,All,577,2061633,285,292
2009,Heart Disease,Minnesota,MN,5,0-54,Floating,All,597,4000457,585,12
2009,Heart Disease,Colorado,CO,8,0-54,Floating,All,608,3860598,550,66
2009,Heart Disease,Washington,WA,10,0-54,Floating,All,775,5051591,729,59
2009,Heart Disease,Wisconsin,WI,5,0-54,Floating,All,779,4224229,629,158
2009,Heart Disease,Arkansas,AR,6,0-54,Floating,All,813,2138611,299,514
2009,Heart Disease,Arizona,AZ,9,0-54,Floating,All,850,4777880,634,216
2009,Heart Disease,Massachusetts,MA,1,0-54,Floating,All,859,4846044,732,127
2009,Heart Disease,Mississippi,MS,4,0-54,Floating,All,878,2245158,309,569
2009,Heart Disease,New Jersey,NJ,2,0-54,Floating,All,973,6564947,999,3
2009,Heart Disease,Oklahoma,OK,6,0-54,Floating,All,987,2788412,386,601
2009,Heart Disease,South Carolina,SC,4,0-54,Floating,All,1124,3404048,485,639
2009,Heart Disease,Kentucky,KY,4,0-54,Floating,All,1151,3222153,470,681
2009,Heart Disease,Maryland,MD,3,0-54,Floating,All,1156,4359669,652,504
2009,Heart Disease,Louisiana,LA,6,0-54,Floating,All,1257,3423189,478,779
2009,Heart Disease,Indiana,IN,5,0-54,Floating,All,1328,4881471,695,633
2009,Heart Disease,Missouri,MO,7,0-54,Floating,All,1357,4431225,643,714
2009,Heart Disease,Virginia,VA,3,0-54,Floating,All,1376,6040776,886,490
2009,Heart Disease,Alabama,AL,4,0-54,Floating,All,1457,3536010,508,949
2009,Heart Disease,Tennessee,TN,4,0-54,Floating,All,1621,4703499,681,940
2009,Heart Disease,North Carolina,NC,4,0-54,Floating,All,1807,7134736,1016,791
2009,Heart Disease,Michigan,MI,5,0-54,Floating,All,1981,7341531,1097,884
2009,Heart Disease,Ohio,OH,5,0-54,Floating,All,2055,8514063,1265,790
2009,Heart Disease,Georgia,GA,4,0-54,Floating,All,2221,7577705,1045,1176
2009,Heart Disease,Pennsylvania,PA,3,0-54,Floating,All,2232,9147084,1394,838
2009,Heart Disease,Illinois,IL,5,0-54,Floating,All,2399,9775805,1386,1013
2009,Heart Disease,New York,NY,2,0-54,Floating,All,2972,14470609,2110,862
2009,Heart Disease,Florida,FL,4,0-54,Floating,All,3007,13172330,1978,1029
2009,Heart Disease,Texas,TX,6,0-54,Floating,All,4144,19750864,2600,1544
2009,Heart Disease,California,CA,9,0-54,Floating,All,4854,28891186,3950,904
2010,Heart Disease,Vermont,VT,1,0-54,Floating,All,74,444690,70,9
2010,Heart Disease,North Dakota,ND,8,0-54,Floating,All,82,493295,68,14
2010,Heart Disease,South Dakota,SD,8,0-54,Floating,All,85,599795,82,9
2010,Heart Disease,Wyoming,WY,8,0-54,Floating,All,108,420023,59,49
2010,Heart Disease,"District ofColumbia",DC,3,0-54,Floating,All,136,468937,58,78
2010,Heart Disease,Rhode Island,RI,1,0-54,Floating,All,139,770097,114,25
2010,Heart Disease,New Hampshire,NH,1,0-54,Floating,All,140,959959,155,1
2010,Heart Disease,Alaska,AK,10,0-54,Floating,All,149,569384,79,70
2010,Heart Disease,Montana,MT,8,0-54,Floating,All,152,703815,103,49
2010,Heart Disease,Maine,ME,1,0-54,Floating,All,167,925180,149,18
2010,Heart Disease,Delaware,DE,3,0-54,Floating,All,182,657728,95,87
2010,Heart Disease,Idaho,ID,10,0-54,Floating,All,190,1192601,153,37
2010,Heart Disease,Hawaii,HI,9,0-54,Floating,All,211,989601,139,72
2010,Heart Disease,Utah,UT,8,0-54,Floating,All,224,2274182,242,9
2010,Heart Disease,Nebraska,NE,7,0-54,Floating,All,233,1366488,185,48
2010,Heart Disease,New Mexico,NM,6,0-54,Floating,All,264,1529988,208,56
2010,Heart Disease,Oregon,OR,10,0-54,Floating,All,372,2787975,389,0
2010,Heart Disease,West Virginia,WV,3,0-54,Floating,All,384,1290765,194,190
2010,Heart Disease,Kansas,KS,7,0-54,Floating,All,422,2145755,290,132
2010,Heart Disease,Connecticut,CT,1,0-54,Floating,All,513,2624086,401,112
2010,Heart Disease,Iowa,IA,7,0-54,Floating,All,515,2220717,310,205
2010,Heart Disease,Colorado,CO,8,0-54,Floating,All,517,3881927,538,21
2010,Heart Disease,Minnesota,MN,5,0-54,Floating,All,552,3991440,570,0
2010,Heart Disease,Nevada,NV,9,0-54,Floating,All,569,2060693,279,290
2010,Heart Disease,Arizona,AZ,9,0-54,Floating,All,739,4783958,623,116
2010,Heart Disease,Wisconsin,WI,5,0-54,Floating,All,796,4209861,613,183
2010,Heart Disease,Washington,WA,10,0-54,Floating,All,799,5061698,711,88
2010,Heart Disease,Massachusetts,MA,1,0-54,Floating,All,807,4841536,715,92
2010,Heart Disease,Arkansas,AR,6,0-54,Floating,All,826,2144946,293,533
2010,Heart Disease,Mississippi,MS,4,0-54,Floating,All,925,2239565,301,624
2010,Heart Disease,Oklahoma,OK,6,0-54,Floating,All,988,2804155,378,610
2010,Heart Disease,Maryland,MD,3,0-54,Floating,All,1103,4370142,639,464
2010,Heart Disease,Kentucky,KY,4,0-54,Floating,All,1159,3222147,459,700
2010,Heart Disease,South Carolina,SC,4,0-54,Floating,All,1177,3409695,475,702
2010,Heart Disease,New Jersey,NJ,2,0-54,Floating,All,1252,6559736,978,274
2010,Heart Disease,Virginia,VA,3,0-54,Floating,All,1274,6069123,870,404
2010,Heart Disease,Indiana,IN,5,0-54,Floating,All,1298,4873551,678,620
2010,Heart Disease,Louisiana,LA,6,0-54,Floating,All,1302,3439953,468,834
2010,Heart Disease,Missouri,MO,7,0-54,Floating,All,1352,4427355,627,725
2010,Heart Disease,Alabama,AL,4,0-54,Floating,All,1449,3533911,496,953
2010,Heart Disease,North Carolina,NC,4,0-54,Floating,All,1703,7162643,998,705
2010,Heart Disease,Tennessee,TN,4,0-54,Floating,All,1725,4706928,666,1059
2010,Heart Disease,Michigan,MI,5,0-54,Floating,All,1958,7270113,1062,896
2010,Heart Disease,Georgia,GA,4,0-54,Floating,All,2038,7586061,1027,1011
2010,Heart Disease,Pennsylvania,PA,3,0-54,Floating,All,2170,9120728,1356,814
2010,Heart Disease,Ohio,OH,5,0-54,Floating,All,2243,8462223,1227,1016
2010,Heart Disease,Illinois,IL,5,0-54,Floating,All,2359,9748212,1351,1008
2010,Heart Disease,New York,NY,2,0-54,Floating,All,2830,14456491,2061,769
2010,Heart Disease,Florida,FL,4,0-54,Floating,All,2918,13204040,1943,975
2010,Heart Disease,Texas,TX,6,0-54,Floating,All,4099,19945984,2562,1537
2010,Heart Disease,California,CA,9,0-54,Floating,All,4577,28970949,3871,706
2011,Heart Disease,North Dakota,ND,8,0-54,Floating,All,84,499321,64,23
2011,Heart Disease,Vermont,VT,1,0-54,Floating,All,84,438778,66,18
2011,Heart Disease,Wyoming,WY,8,0-54,Floating,All,104,418771,55,49
2011,Heart Disease,South Dakota,SD,8,0-54,Floating,All,107,602114,78,29
2011,Heart Disease,Alaska,AK,10,0-54,Floating,All,116,573620,75,41
2011,Heart Disease,Rhode Island,RI,1,0-54,Floating,All,139,761483,107,32
2011,Heart Disease,"District ofColumbia",DC,3,0-54,Floating,All,140,481065,56,84
2011,Heart Disease,Montana,MT,8,0-54,Floating,All,156,701820,96,60
2011,Heart Disease,New Hampshire,NH,1,0-54,Floating,All,163,947601,146,17
2011,Heart Disease,Delaware,DE,3,0-54,Floating,All,166,657439,90,76
2011,Heart Disease,Idaho,ID,10,0-54,Floating,All,198,1193735,145,54
2011,Heart Disease,Maine,ME,1,0-54,Floating,All,199,912012,140,59
2011,Heart Disease,Hawaii,HI,9,0-54,Floating,All,204,992670,131,73
2011,Heart Disease,Utah,UT,8,0-54,Floating,All,226,2303971,233,5
2011,Heart Disease,Nebraska,NE,7,0-54,Floating,All,238,1368686,175,63
2011,Heart Disease,New Mexico,NM,6,0-54,Floating,All,256,1533528,197,59
2011,Heart Disease,Oregon,OR,10,0-54,Floating,All,380,2789611,369,18
2011,Heart Disease,Kansas,KS,7,0-54,Floating,All,415,2142425,274,141
2011,Heart Disease,Iowa,IA,7,0-54,Floating,All,435,2215522,293,142
2011,Heart Disease,West Virginia,WV,3,0-54,Floating,All,459,1281653,183,276
2011,Heart Disease,Connecticut,CT,1,0-54,Floating,All,498,2603587,381,117
2011,Heart Disease,Minnesota,MN,5,0-54,Floating,All,530,3981878,541,8
2011,Heart Disease,Colorado,CO,8,0-54,Floating,All,569,3912356,513,56
2011,Heart Disease,Nevada,NV,9,0-54,Floating,All,582,2057537,266,316
2011,Heart Disease,Massachusetts,MA,1,0-54,Floating,All,766,4827782,681,85
2011,Heart Disease,Washington,WA,10,0-54,Floating,All,773,5092725,676,97
2011,Heart Disease,Wisconsin,WI,5,0-54,Floating,All,785,4186211,580,205
2011,Heart Disease,Arkansas,AR,6,0-54,Floating,All,803,2145281,279,524
2011,Heart Disease,Arizona,AZ,9,0-54,Floating,All,816,4804440,596,220
2011,Heart Disease,Mississippi,MS,4,0-54,Floating,All,894,2229965,285,609
2011,Heart Disease,Oklahoma,OK,6,0-54,Floating,All,904,2816313,357,547
2011,Heart Disease,Maryland,MD,3,0-54,Floating,All,1008,4372431,610,398
